2025-03-06 20:22:49,884 Epochs: [84/300]; Train loss: 0.088485; Valid loss: 0.066052; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:27:47,319 Epochs: [85/300]; Train loss: 0.087407; Valid loss: 0.065284; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:32:46,233 Epochs: [86/300]; Train loss: 0.086731; Valid loss: 0.065629; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:37:44,466 Epochs: [87/300]; Train loss: 0.087642; Valid loss: 0.066162; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:42:42,056 Epochs: [88/300]; Train loss: 0.087602; Valid loss: 0.065465; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:47:39,330 Epochs: [89/300]; Train loss: 0.087075; Valid loss: 0.064754; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:52:35,641 Epochs: [90/300]; Train loss: 0.086788; Valid loss: 0.064242; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:57:29,957 Epochs: [91/300]; Train loss: 0.088399; Valid loss: 0.065503; mapping: 0.000000; lr: 0.000001 

2025-03-06 21:02:25,324 Epochs: [92/300]; Train loss: 0.088440; Valid loss: 0.065809; mapping: 0.000000; lr: 0.000001 

2025-03-06 21:07:22,940 Epochs: [93/300]; Train loss: 0.087862; Valid loss: 0.067433; mapping: 0.000000; lr: 0.000001 

2025-03-06 21:12:19,941 Epochs: [94/300]; Train loss: 0.088166; Valid loss: 0.065831; mapping: 0.000000; lr: 0.000001 

2025-03-06 21:17:18,305 Epochs: [95/300]; Train loss: 0.087822; Valid loss: 0.065929; mapping: 0.000000; lr: 0.000001 

2025-03-06 21:22:14,754 Epochs: [96/300]; Train loss: 0.088227; Valid loss: 0.065847; mapping: 0.000000; lr: 0.000001 

2025-03-06 21:27:13,277 Epochs: [97/300]; Train loss: 0.087329; Valid loss: 0.065527; mapping: 0.000000; lr: 0.000001 

2025-03-06 21:57:34,948 Epochs: [98/300]; Train loss: 0.087625; Valid loss: 0.066310; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:02:33,149 Epochs: [99/300]; Train loss: 0.088113; Valid loss: 0.066443; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:07:32,031 Epochs: [100/300]; Train loss: 0.086691; Valid loss: 0.065250; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:12:29,801 Epochs: [101/300]; Train loss: 0.087651; Valid loss: 0.064614; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:17:27,951 Epochs: [102/300]; Train loss: 0.087231; Valid loss: 0.065994; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:22:26,274 Epochs: [103/300]; Train loss: 0.088263; Valid loss: 0.065725; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:27:25,117 Epochs: [104/300]; Train loss: 0.088774; Valid loss: 0.065099; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:32:24,376 Epochs: [105/300]; Train loss: 0.087228; Valid loss: 0.065480; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:37:22,276 Epochs: [106/300]; Train loss: 0.087986; Valid loss: 0.065476; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:42:20,000 Epochs: [107/300]; Train loss: 0.088254; Valid loss: 0.065830; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:47:15,862 Epochs: [108/300]; Train loss: 0.087328; Valid loss: 0.066207; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:52:11,218 Epochs: [109/300]; Train loss: 0.087998; Valid loss: 0.065067; mapping: 0.000000; lr: 0.000001 

2025-03-06 22:57:07,496 Epochs: [110/300]; Train loss: 0.087858; Valid loss: 0.065380; mapping: 0.000000; lr: 0.000001 

2025-03-06 23:02:02,650 Epochs: [111/300]; Train loss: 0.088739; Valid loss: 0.066084; mapping: 0.000000; lr: 0.000001 

2025-03-06 23:06:58,609 Epochs: [112/300]; Train loss: 0.087969; Valid loss: 0.065361; mapping: 0.000000; lr: 0.000001 

2025-03-06 23:11:55,202 Epochs: [113/300]; Train loss: 0.088317; Valid loss: 0.065920; mapping: 0.000000; lr: 0.000001 

2025-03-06 23:16:53,016 Epochs: [114/300]; Train loss: 0.087723; Valid loss: 0.065821; mapping: 0.000000; lr: 0.000001 

